release		aorist		participle	feminine	λῡ́σᾱσᾰ	λῡ́σᾱσᾰ	λῡ́σᾱσᾰ	λῡσᾰμένη	λῡσᾰμένη	λῠθεῖσᾰ	λῠθεῖσᾰ	λῠθεῖσᾰ
release		aorist		participle	neuter	λῦσᾰν	λῦσᾰν	λῦσᾰν	λῡσᾰ́μενον	λῡσᾰ́μενον	λῠθέν	λῠθέν	λῠθέν
release		perfect		infinitive	infinitive		λελῠκέναι	λελῠκέναι	λελῠκέναι	λελῠκέναι	λελῠ́σθαι	λελῠ́σθαι	λελῠ́σθαι
release		perfect		participle	masculine		λελῠκώς	λελῠκώς	λελῠκώς	λελῠκώς	λελῠμένος	λελῠμένος	λελῠμένος
release		perfect		participle	feminine		λελῠκυῖᾰ	λελῠκυῖᾰ	λελῠκυῖᾰ	λελῠκυῖᾰ	λελῠμένη	λελῠμένη	λελῠμένη
release		perfect		participle	neuter		λελῠκός	λελῠκός	λελῠκός	λελῠκός	λελῠμένον	λελῠμένον	λελῠμένον
release	future	finished		infinitive	infinitive					λελῡ́σεσθαι	λελῡ́σεσθαι	λελῡ́σεσθαι	λελῡ́σεσθαι
release	future	finished		participle	masculine					λελῡσόμενος	λελῡσόμενος	λελῡσόμενος	λελῡσόμενος
release	future	finished		participle	feminine					λελῡσομένη	λελῡσομένη	λελῡσομένη	λελῡσομένη
release	future	finished		participle	neuter					λελῡσόμενον	λελῡσόμενον	λελῡσόμενον	λελῡσόμενον
go		present		infinitive	infinitive	ἰέναι	ἰέναι	ἰέναι	ἰέναι				
go		present		participle	masculine	ἰών	ἰών	ἰών	ἰών				
go		present		participle	feminine	ἰοῦσᾰ	ἰοῦσᾰ	ἰοῦσᾰ	ἰοῦσᾰ				
go		present		participle	neuter	ἰόν	ἰόν	ἰόν	ἰόν				
